,Datetime,Open,High,Low,Close,Volume
92,2025-04-27 18:00:00,1798.12,1808.47,1797.08,1803.39,7934.4751
93,2025-04-27 19:00:00,1803.4,1808.4,1800.79,1808.01,5844.1454
94,2025-04-27 20:00:00,1808.01,1808.26,1798.51,1802.5,6631.9989
95,2025-04-27 21:00:00,1802.51,1807.3,1796.14,1803.0,5146.7824
96,2025-04-27 22:00:00,1803.0,1803.2,1784.59,1794.6,18511.8933
97,2025-04-27 23:00:00,1794.59,1796.4,1788.41,1791.29,7428.1216
98,2025-04-28 00:00:00,1791.29,1793.83,1768.0,1773.59,44175.2903
99,2025-04-28 01:00:00,1773.59,1778.69,1752.18,1763.89,37949.9495
100,2025-04-28 02:00:00,1763.89,1774.13,1761.81,1772.99,16802.5399
101,2025-04-28 03:00:00,1772.99,1787.1,1769.81,1784.23,11413.8811
102,2025-04-28 04:00:00,1784.23,1794.14,1784.23,1787.76,11060.2733
103,2025-04-28 05:00:00,1787.75,1802.88,1786.2,1795.8,18918.5225
104,2025-04-28 06:00:00,1795.8,1806.31,1795.62,1804.69,15568.387
105,2025-04-28 07:00:00,1804.68,1812.08,1800.4,1804.79,17524.7753
106,2025-04-28 08:00:00,1804.8,1810.4,1801.48,1809.39,12486.9681
107,2025-04-28 09:00:00,1809.4,1815.88,1804.48,1805.76,13790.5688
108,2025-04-28 10:00:00,1805.76,1824.0,1788.3,1815.39,46627.3895
109,2025-04-28 11:00:00,1815.4,1827.98,1810.41,1816.2,22839.6302
110,2025-04-28 12:00:00,1816.2,1816.97,1804.87,1806.87,28717.624
111,2025-04-28 13:00:00,1806.87,1810.6,1782.19,1784.22,40042.0464
112,2025-04-28 14:00:00,1784.21,1799.0,1780.0,1781.92,25868.6299
113,2025-04-28 15:00:00,1781.93,1785.4,1753.0,1763.28,48908.4342
114,2025-04-28 16:00:00,1763.27,1768.64,1744.71,1757.99,39278.378
115,2025-04-28 17:00:00,1757.99,1774.74,1754.7,1770.86,19204.1763
116,2025-04-28 18:00:00,1770.86,1781.69,1764.61,1778.2,16978.99
117,2025-04-28 19:00:00,1778.21,1804.79,1777.63,1797.17,43611.7744
118,2025-04-28 20:00:00,1797.17,1798.95,1783.4,1785.83,14808.3889
119,2025-04-28 21:00:00,1785.83,1794.47,1781.16,1793.45,8259.6458
120,2025-04-28 22:00:00,1793.46,1805.8,1791.6,1801.88,17117.1055
121,2025-04-28 23:00:00,1801.88,1807.0,1795.11,1799.88,15316.3741
122,2025-04-29 00:00:00,1799.88,1805.88,1793.71,1802.08,13288.0216
123,2025-04-29 01:00:00,1802.09,1811.56,1792.63,1796.5,21206.8494
124,2025-04-29 02:00:00,1796.51,1801.85,1787.89,1794.63,15275.4008
125,2025-04-29 03:00:00,1794.66,1805.24,1792.27,1802.08,10762.9045
126,2025-04-29 04:00:00,1802.07,1804.86,1789.19,1792.38,11418.4711
127,2025-04-29 05:00:00,1792.39,1796.6,1788.16,1794.89,10248.0919
128,2025-04-29 06:00:00,1794.89,1822.21,1794.2,1821.13,35543.7727
129,2025-04-29 07:00:00,1821.14,1824.94,1816.47,1821.71,20138.1049
130,2025-04-29 08:00:00,1821.71,1835.95,1816.92,1832.5,31266.0013
131,2025-04-29 09:00:00,1832.51,1835.2,1824.47,1831.85,22357.3796
132,2025-04-29 10:00:00,1831.85,1842.99,1823.04,1825.71,31068.4523
133,2025-04-29 11:00:00,1825.7,1838.57,1824.97,1829.77,19542.3978
134,2025-04-29 12:00:00,1829.76,1833.42,1821.03,1821.8,15446.4226
135,2025-04-29 13:00:00,1821.8,1824.98,1802.02,1814.64,41462.4638
136,2025-04-29 14:00:00,1814.64,1826.32,1809.57,1823.51,30582.9137
137,2025-04-29 15:00:00,1823.51,1825.4,1812.19,1814.99,13100.1969
138,2025-04-29 16:00:00,1814.99,1832.49,1813.74,1816.23,21593.7473
139,2025-04-29 17:00:00,1816.23,1829.84,1807.48,1825.19,19364.8866
140,2025-04-29 18:00:00,1825.19,1828.9,1820.9,1825.58,12696.705
