,asset,free,locked
437,QUICK,0.0,0.0
438,RAY,0.0,0.0
439,MINA,0.0,0.0
440,QNT,0.0,0.0
441,CLV,0.0,0.0
442,XEC,0.0,0.0
443,ALPACA,0.0,0.0
444,FARM,0.0,0.0
445,VGX,0.0,0.0
446,MBOX,0.0,0.0
447,WAXP,0.0,0.0
448,TRIBE,0.0,0.0
449,GNO,0.0,0.0
450,USDP,0.0,0.0
451,DYDX,0.0,0.0
452,GALA,0.0,0.0
453,ILV,0.0,0.0
454,YGG,0.0,0.0
455,FIDA,0.0,0.0
456,AGLD,0.0,0.0
457,BETA,0.0,0.0
458,RAD,0.0,0.0
459,RARE,0.0,0.0
460,SSV,0.0,0.0
461,LAZIO,0.0,0.0
462,MOVR,0.0,0.0
463,CHESS,0.0,0.0
464,DAR,0.0,0.0
465,ACA,0.0,0.0
466,ASTR,0.0,0.0
467,BNX,0.0,0.0
468,RGT,0.0,0.0
469,CITY,0.0,0.0
470,ENS,0.0,0.0
471,PORTO,0.0,0.0
472,JASMY,0.0,0.0
473,AMP,0.0,0.0
474,PLA,0.0,0.0
475,PYR,0.0,0.0
476,SANTOS,0.0,0.0
477,RNDR,0.0,0.0
478,ALCX,0.0,0.0
479,MC,0.0,0.0
480,ANY,0.0,0.0
481,VOXEL,0.0,0.0
482,BICO,0.0,0.0
483,FLUX,0.0,0.0
484,UST,0.0,0.0
485,HIGH,0.0,0.0
486,OOKI,0.0,0.0
487,CVX,0.0,0.0
488,PEOPLE,0.0,0.0
489,SPELL,0.0,0.0
490,JOE,0.0,0.0
491,BDOT,0.0,0.0
492,GLMR,0.0,0.0
493,ACH,0.0,0.0
494,IMX,0.0,0.0
495,LOKA,0.0,0.0
496,BTTC,0.0,0.0
497,ANC,0.0,0.0
498,API3,0.0,0.0
499,XNO,0.0,0.0
500,WOO,0.0,0.0
501,ALPINE,0.0,0.0
502,T,0.0,0.0
503,NBT,0.0,0.0
504,KDA,0.0,0.0
505,APE,0.0,0.0
506,GMT,0.0,0.0
507,MOB,0.0,0.0
508,BSW,0.0,0.0
509,MULTI,0.0,0.0
510,REI,0.0,0.0
511,GAL,0.0,0.0
512,NEXO,0.0,0.0
513,EPX,0.0,0.0
514,LDO,0.0,0.0
515,USTC,0.0,0.0
516,LUNC,0.0,0.0
517,OP,0.0,0.0
518,LEVER,0.0,0.0
519,STG,0.0,0.0
520,POLYX,0.0,0.0
521,GMX,0.0,0.0
522,APT,0.0,0.0
523,OSMO,0.0,0.0
524,HFT,0.0,0.0
525,HOOK,0.0,0.0
526,MAGIC,0.0,0.0
527,HIFI,0.0,0.0
528,RPL,0.0,0.0
529,GFT,0.0,0.0
530,GNS,0.0,0.0
531,SYN,0.0,0.0
532,LQTY,0.0,0.0
533,ID,0.0,0.0
534,ARB,0.0,0.0
535,RDNT,0.0,0.0
536,EDU,0.0,0.0
537,WBETH,0.0,0.0
538,SUI,0.0,0.0
539,PEPE,0.0,0.0
540,FLOKI,0.0,0.0
541,COMBO,0.0,0.0
542,NTRN,0.0,0.0
543,MAV,0.0,0.0
544,FDUSD,0.0,0.0
545,PENDLE,0.0,0.0
546,ARKM,0.0,0.0
547,WLD,0.0,0.0
548,CYBER,0.0,0.0
549,SEI,0.0,0.0
550,AEUR,0.0,0.0
551,ORDI,0.0,0.0
552,MEME,0.0,0.0
553,TIA,0.0,0.0
554,BEAMX,0.0,0.0
555,VIC,0.0,0.0
556,BLUR,0.0,0.0
557,VANRY,0.0,0.0
558,JTO,0.0,0.0
559,ACE,0.0,0.0
560,1000SATS,0.0,0.0
561,BONK,0.0,0.0
562,AXL,0.0,0.0
563,NFP,0.0,0.0
564,AI,0.0,0.0
565,XAI,0.0,0.0
566,MANTA,0.0,0.0
567,ALT,0.0,0.0
568,RONIN,0.0,0.0
569,JUP,0.0,0.0
570,PYTH,0.0,0.0
571,DYM,0.0,0.0
572,PIXEL,0.0,0.0
573,STRK,0.0,0.0
574,PORTAL,0.0,0.0
575,PDA,0.0,0.0
576,WIF,0.0,0.0
