2025-08-05 21:43:29,561 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,567 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,579 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,612 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,625 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,646 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,664 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,693 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,698 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,712 - INFO - Already have position in VNM, skipping BUY signal
2025-08-05 21:43:29,722 - WARNING - Không tìm thấy nến tiếp theo cho signal 2025-08-05 00:00:00
2025-08-05 21:43:29,745 - INFO - Closed position: VNM, P&L: 370,000 VND (6.56%)
2025-08-05 21:43:29,754 - INFO - Backtest completed
2025-08-05 21:50:15,131 - INFO - Đã tính toán các chỉ báo kỹ thuật bằng TA-Lib
2025-08-05 21:50:19,981 - INFO - Backtest engine initialized with balance: 10,000,000 VND
2025-08-05 21:50:19,991 - INFO - Starting backtest with 50 signals
2025-08-05 21:50:19,994 - INFO - 📋 Quy tắc: Mua 100 CP với giá mở cửa nến tiếp theo, Bán toàn bộ với giá mở cửa nến tiếp theo
2025-08-05 21:50:20,015 - INFO - No position in VCB, skipping SELL signal
2025-08-05 21:50:20,054 - INFO - No position in VCB, skipping SELL signal
2025-08-05 21:50:20,069 - INFO - No position in VCB, skipping SELL signal
2025-08-05 21:50:20,135 - INFO - No position in VCB, skipping SELL signal
2025-08-05 21:50:20,155 - INFO - No position in VCB, skipping SELL signal
2025-08-05 21:50:20,189 - INFO - No position in VCB, skipping SELL signal
2025-08-05 21:50:20,192 - INFO - No position in VCB, skipping SELL signal
2025-08-05 21:50:20,200 - INFO - No position in VCB, skipping SELL signal
2025-08-05 21:50:20,234 - INFO - No position in VCB, skipping SELL signal
2025-08-05 21:50:20,254 - INFO - No position in VCB, skipping SELL signal
2025-08-05 21:50:20,293 - INFO - No position in VCB, skipping SELL signal
2025-08-05 21:50:20,354 - INFO - No position in VCB, skipping SELL signal
2025-08-05 21:50:20,442 - INFO - No position in VCB, skipping SELL signal
2025-08-05 21:50:20,450 - INFO - No position in VCB, skipping SELL signal
2025-08-05 21:50:20,463 - INFO - No position in VCB, skipping SELL signal
2025-08-05 21:50:20,489 - INFO - BUY 100 VCB @ 56,700 VND (Cost: 5,670,000 VND)
2025-08-05 21:50:20,502 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,506 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,513 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,555 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,581 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,594 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,604 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,613 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,629 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,633 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,641 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,650 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,661 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,666 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,677 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,683 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,713 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,722 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,724 - INFO - Already have position in VCB, skipping BUY signal
2025-08-05 21:50:20,730 - INFO - Already have position in VCB, skipping BUY signal
