,Datetime,Open,High,Low,Close,Volume,Momentum,RSI,Predicted_Close,Buy_Signal,Sell_Signal
39,2024-03-05 12:30:00,1.08479,1.08481,1.08454,1.08471,750,-0.0005399999999999849,41.059602649007594,1.0848065737590724,False,False
40,2024-03-05 13:00:00,1.08471,1.08494,1.0843,1.08445,952,-0.0004900000000001015,41.75084175084105,1.0847325675523438,False,False
41,2024-03-05 13:30:00,1.08447,1.08512,1.08418,1.0846,1556,-5.999999999994898e-05,48.943661971832036,1.084470211396666,False,True
42,2024-03-05 14:00:00,1.08461,1.08541,1.08456,1.08499,1293,0.00027999999999983594,54.402515723267605,1.084631334897967,False,False
43,2024-03-05 14:30:00,1.08501,1.08512,1.08399,1.08455,1649,-6.000000000017103e-05,49.147727272724886,1.085030800277747,False,False
44,2024-03-05 15:00:00,1.08454,1.08759,1.08454,1.08667,3586,0.0019100000000000783,67.39526411657492,1.0845824793471348,False,False
45,2024-03-05 15:30:00,1.0866500000000001,1.08744,1.08638,1.0871,1697,0.0023999999999999577,70.47781569965687,1.0866513053652143,False,False
46,2024-03-05 16:00:00,1.08711,1.08716,1.08606,1.08663,1324,0.0011399999999999189,60.288808664258596,1.0870562963099752,True,False
47,2024-03-05 16:30:00,1.08662,1.0867499999999999,1.0858,1.08606,1315,0.0009300000000000974,58.08695652173978,1.0866386541209905,True,False
48,2024-03-05 17:00:00,1.08607,1.08641,1.08584,1.08628,877,0.0010599999999998388,59.01360544217568,1.086068983362113,False,False
49,2024-03-05 17:30:00,1.08629,1.08634,1.08576,1.08597,832,0.0009600000000000719,58.02675585284388,1.0862841597810182,True,False
50,2024-03-05 18:00:00,1.08597,1.08598,1.08531,1.08536,747,0.0001900000000001345,51.47744945567763,1.0859744497337467,True,False
51,2024-03-05 18:30:00,1.08536,1.08571,1.08512,1.08526,736,0.00029999999999996696,52.37341772151878,1.0853909959658514,True,False
52,2024-03-05 19:00:00,1.08526,1.08573,1.08512,1.08564,775,0.0008599999999998609,56.59509202453873,1.085285197881598,False,False
53,2024-03-05 19:30:00,1.08565,1.08567,1.08512,1.08527,893,0.0005599999999998939,54.10557184750652,1.0856410764961304,True,False
54,2024-03-05 20:00:00,1.08528,1.0854,1.08489,1.08515,924,0.000700000000000145,55.23952095808507,1.085280706848194,True,False
55,2024-03-05 20:30:00,1.08515,1.0858,1.08509,1.08572,669,0.0011200000000000099,57.88732394366242,1.0851533434583935,False,False
56,2024-03-05 21:00:00,1.08573,1.08587,1.08563,1.08564,263,0.0006500000000000394,54.78645066273972,1.0857037759168016,True,False
57,2024-03-05 21:30:00,1.08565,1.08569,1.08556,1.08558,376,0.0010300000000000864,58.03432137285583,1.0856496476684745,True,False
58,2024-03-05 22:00:00,1.08555,1.08568,1.0854,1.08557,344,-0.001100000000000101,37.209302325579465,1.085573399375012,False,False
59,2024-03-05 22:30:00,1.08555,1.08567,1.08547,1.08567,453,-0.0014300000000000423,31.989924433247964,1.0856308297558663,False,True
60,2024-03-05 23:00:00,1.08566,1.08585,1.08556,1.08572,296,-0.0009099999999999664,37.18309859154956,1.0857265957737763,False,False
61,2024-03-05 23:30:00,1.08572,1.08573,1.08552,1.08557,224,-0.0004900000000001015,42.17252396165991,1.0857614190356784,False,False
