Symbol,Value,TradingDate,Time,Open,High,Low,Close,Volume
VCB,56100,02/06/2025,13:21:57,56100,56200,56100,56100,20100
VCB,56100,02/06/2025,13:21:57,56100,56200,56100,56100,20100
VCB,56100,02/06/2025,13:22:47,56100,56200,56100,56100,5600
VCB,56100,02/06/2025,13:22:47,56100,56200,56100,56100,5600
VCB,56100,02/06/2025,13:22:47,56100,56200,56100,56100,5600
VCB,56200,02/06/2025,13:23:55,56100,56200,56100,56200,29800
VCB,56200,02/06/2025,13:23:55,56100,56200,56100,56200,29800
VCB,56200,02/06/2025,13:23:55,56100,56200,56100,56200,29800
VCB,56100,02/06/2025,13:24:55,56200,56200,56100,56100,9600
VCB,56100,02/06/2025,13:24:55,56200,56200,56100,56100,9600
VCB,56100,02/06/2025,13:24:55,56200,56200,56100,56100,9600
VCB,56200,02/06/2025,13:25:49,56200,56200,56100,56200,6700
VCB,56200,02/06/2025,13:25:49,56200,56200,56100,56200,6700
VCB,56200,02/06/2025,13:25:49,56200,56200,56100,56200,6700
VCB,56200,02/06/2025,13:26:48,56200,56200,56100,56200,8700
VCB,56200,02/06/2025,13:26:48,56200,56200,56100,56200,8700
VCB,56200,02/06/2025,13:26:48,56200,56200,56100,56200,8700
VCB,56200,02/06/2025,13:27:51,56200,56200,56100,56200,3800
VCB,56200,02/06/2025,13:27:51,56200,56200,56100,56200,3800
VCB,56200,02/06/2025,13:27:51,56200,56200,56100,56200,3800
VCB,56100,02/06/2025,13:28:39,56100,56200,56100,56100,8900
VCB,56100,02/06/2025,13:28:39,56100,56200,56100,56100,8900
VCB,56100,02/06/2025,13:28:39,56100,56200,56100,56100,8900
VCB,56200,02/06/2025,13:29:46,56200,56200,56100,56200,7600
VCB,56200,02/06/2025,13:29:46,56200,56200,56100,56200,7600
VCB,56200,02/06/2025,13:29:46,56200,56200,56100,56200,7600
VCB,56100,02/06/2025,13:30:57,56200,56200,56100,56100,10400
VCB,56100,02/06/2025,13:30:57,56200,56200,56100,56100,10400
VCB,56100,02/06/2025,13:30:57,56200,56200,56100,56100,10400
VCB,56200,02/06/2025,13:31:45,56100,56200,56100,56200,2500
VCB,56200,02/06/2025,13:31:45,56100,56200,56100,56200,2500
VCB,56200,02/06/2025,13:31:45,56100,56200,56100,56200,2500
VCB,56200,02/06/2025,13:32:47,56200,56200,56100,56200,1700
VCB,56200,02/06/2025,13:32:47,56200,56200,56100,56200,1700
VCB,56200,02/06/2025,13:32:47,56200,56200,56100,56200,1700
VCB,56200,02/06/2025,13:33:58,56200,56200,56100,56200,7400
