,ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
403,20998371,2024-11-22 20:09:11,1732306151899,2024-11-22 20:09:11,1732306151900,0,0,0,0,4,234000,20998371,0,3,0.01,0.0,0.0,20766.4,20826.4,20806.1,0.0,US100,python script op,
404,20998412,2024-11-22 20:10:12,1732306212329,2024-11-22 20:10:12,1732306212331,0,0,0,0,4,234000,20998412,0,3,0.01,0.0,0.0,20766.4,20826.4,20806.4,0.0,US100,python script op,
405,20998432,2024-11-22 20:11:17,1732306277081,2024-11-22 20:11:17,1732306277083,0,0,0,1,4,234000,20997563,0,4,0.01,0.0,20813.3,0.0,0.0,20813.3,0.0,US100,[sl 20813.3],
406,20998434,2024-11-22 20:11:18,1732306278463,2024-11-22 20:11:18,1732306278466,0,1,0,1,4,234000,20998050,0,5,0.01,0.0,20811.9,0.0,0.0,20811.9,0.0,US100,[tp 20811.9],
407,20998435,2024-11-22 20:11:18,1732306278691,2024-11-22 20:11:18,1732306278693,0,1,0,1,4,234000,20997899,0,5,0.01,0.0,20813.6,0.0,0.0,20813.6,0.0,US100,[tp 20813.6],
408,20998436,2024-11-22 20:11:18,1732306278719,2024-11-22 20:11:18,1732306278723,0,1,0,1,4,234000,20997704,0,5,0.01,0.0,20814.6,0.0,0.0,20814.6,0.0,US100,[tp 20814.6],
409,20998437,2024-11-22 20:11:18,1732306278721,2024-11-22 20:11:18,1732306278727,0,1,0,1,4,234000,20998021,0,5,0.01,0.0,20814.4,0.0,0.0,20814.4,0.0,US100,[tp 20814.4],
410,20998439,2024-11-22 20:11:24,1732306284776,2024-11-22 20:11:24,1732306284777,0,0,0,0,4,234000,20998439,0,3,0.01,0.0,0.0,20775.6,20835.6,20815.6,0.0,US100,python script op,
411,20998445,2024-11-22 20:11:44,1732306304977,2024-11-22 20:11:44,1732306304980,0,1,0,1,4,234000,20997778,0,5,0.01,0.0,20816.1,0.0,0.0,20816.1,0.0,US100,[tp 20816.1],
412,20998447,2024-11-22 20:11:45,1732306305181,2024-11-22 20:11:45,1732306305183,0,1,0,1,4,234000,20997687,0,5,0.01,0.0,20816.6,0.0,0.0,20816.6,0.0,US100,[tp 20816.6],
413,20998450,2024-11-22 20:11:45,1732306305606,2024-11-22 20:11:45,1732306305608,0,1,0,1,4,234000,20998180,0,5,0.01,0.0,20817.1,0.0,0.0,20817.1,0.0,US100,[tp 20817.1],
414,20998453,2024-11-22 20:11:46,1732306306127,2024-11-22 20:11:46,1732306306130,0,1,0,1,4,234000,20997924,0,5,0.01,0.0,20818.9,0.0,0.0,20818.9,0.0,US100,[tp 20818.9],
415,20998456,2024-11-22 20:11:46,1732306306173,2024-11-22 20:11:46,1732306306179,0,1,0,1,4,234000,20997816,0,5,0.01,0.0,20819.6,0.0,0.0,20819.6,0.0,US100,[tp 20819.6],
416,20998457,2024-11-22 20:11:46,1732306306176,2024-11-22 20:11:46,1732306306185,0,1,0,1,4,234000,20998217,0,5,0.01,0.0,20820.1,0.0,0.0,20820.1,0.0,US100,[tp 20820.1],
417,20998458,2024-11-22 20:11:46,1732306306178,2024-11-22 20:11:46,1732306306190,0,1,0,1,4,234000,20998297,0,5,0.01,0.0,20820.1,0.0,0.0,20820.1,0.0,US100,[tp 20820.1],
418,20998467,2024-11-22 20:12:13,1732306333211,2024-11-22 20:12:13,1732306333213,0,0,0,0,4,234000,20998467,0,3,0.01,0.0,0.0,20777.9,20837.9,20817.6,0.0,US100,python script op,
419,20998488,2024-11-22 20:13:13,1732306393718,2024-11-22 20:13:13,1732306393719,0,0,0,0,4,234000,20998488,0,3,0.01,0.0,0.0,20777.4,20837.4,20817.4,0.0,US100,python script op,
420,20998502,2024-11-22 20:14:16,1732306456122,2024-11-22 20:14:16,1732306456123,0,0,0,0,4,234000,20998502,0,3,0.01,0.0,0.0,20765.6,20825.6,20803.6,0.0,US100,python script op,
421,20998523,2024-11-22 20:15:16,1732306516562,2024-11-22 20:15:16,1732306516563,0,0,0,0,4,234000,20998523,0,3,0.01,0.0,0.0,20767.4,20827.4,20807.4,0.0,US100,python script op,
422,20998541,2024-11-22 20:16:17,1732306577266,2024-11-22 20:16:17,1732306577267,0,0,0,0,4,234000,20998541,0,3,0.01,0.0,0.0,20772.9,20832.9,20812.9,0.0,US100,python script op,
