Datetime,Open,High,Low,Close,Volume,IsDoji,Buy_Signal,Sell_Signal,Position_Buy,Position_Sell,Trade_Action,Capital,Shares_Held,Market_Return,Cumulative_Market_Returns,Strategy_Value,Cumulative_Strategy_Returns
19/06/2025,56700,57000,56500,56600,2368700,False,False,False,False,False,,88700000,200,-0.0017636684303351524,0.9912434325744308,100020000,1.0002
20/06/2025,56700,57200,56500,57100,6886500,False,False,False,False,False,,88700000,200,0.008833922261484162,1.0,100120000,1.0012
23/06/2025,56700,56900,56500,56600,2480600,False,False,False,False,False,,88700000,200,-0.008756567425569184,0.9912434325744308,100020000,1.0002
24/06/2025,56900,57100,56600,56600,3507600,False,False,False,False,False,,88700000,200,0.0,0.9912434325744308,100020000,1.0002
25/06/2025,56800,56900,56600,56600,2739800,False,False,False,False,False,,88700000,200,0.0,0.9912434325744308,100020000,1.0002
26/06/2025,56700,56800,56400,56400,2842900,False,False,False,False,False,,88700000,200,-0.0035335689045936647,0.9877408056042031,99980000,0.9998
27/06/2025,56600,57300,56400,56700,4082600,False,False,False,False,False,,88700000,200,0.005319148936170137,0.9929947460595445,100040000,1.0004
30/06/2025,57000,57200,56900,57000,2952200,True,True,False,False,False,,88700000,200,0.005291005291005346,0.9982486865148861,100100000,1.001
01/07/2025,57200,58800,57100,58200,10049500,False,False,False,True,False,Buy,82980000,300,0.021052631578947434,1.019264448336252,100440000,1.0044
02/07/2025,58300,58600,57700,58000,2913600,False,False,False,False,False,,82980000,300,-0.0034364261168384758,1.0157618213660244,100380000,1.0038
03/07/2025,58100,58800,57700,57900,7395300,False,False,False,False,False,,82980000,300,-0.0017241379310344307,1.0140105078809107,100350000,1.0035
04/07/2025,57900,58800,57800,58400,4849800,False,False,False,False,False,,82980000,300,0.008635578583765069,1.02276707530648,100500000,1.005
07/07/2025,58500,58900,58200,58600,8056200,False,False,False,False,False,,82980000,300,0.003424657534246478,1.0262697022767076,100560000,1.0056
08/07/2025,58800,59500,58600,59000,10394500,False,False,False,False,False,,82980000,300,0.006825938566553003,1.033274956217163,100680000,1.0068
09/07/2025,59400,61800,59400,61500,16449700,False,False,False,False,False,,82980000,300,0.04237288135593231,1.077057793345009,101430000,1.0143
10/07/2025,61800,61800,61000,61400,8152900,False,False,False,False,False,,82980000,300,-0.001626016260162566,1.0753064798598952,101400000,1.014
11/07/2025,61500,63100,61500,62700,12701900,False,False,False,False,False,,82980000,300,0.021172638436482094,1.0980735551663752,101790000,1.0179
14/07/2025,62900,62900,61000,62400,6475000,False,False,False,False,False,,82980000,300,-0.004784688995215336,1.0928196147110336,101700000,1.017
15/07/2025,62400,62600,61400,61400,6315400,False,False,False,False,False,,82980000,300,-0.01602564102564108,1.0753064798598952,101400000,1.014
16/07/2025,61400,62100,61100,61800,7603200,False,False,False,False,False,,82980000,300,0.006514657980456029,1.0823117338003505,101520000,1.0152
17/07/2025,61800,62700,61800,62200,9992700,False,False,False,False,False,,82980000,300,0.006472491909385036,1.0893169877408058,101640000,1.0164
18/07/2025,62300,62600,61800,61900,6915300,False,False,False,False,False,,82980000,300,-0.004823151125401881,1.0840630472854642,101550000,1.0155
21/07/2025,62200,62700,61300,61300,6138200,False,False,False,False,False,,82980000,300,-0.009693053311793265,1.073555166374781,101370000,1.0137
22/07/2025,61300,62200,60900,62200,4902600,False,False,False,False,False,,82980000,300,0.014681892332789603,1.0893169877408058,101640000,1.0164
23/07/2025,62500,62600,61800,62100,5087300,False,False,False,False,False,,82980000,300,-0.001607717041800627,1.0875656742556918,101610000,1.0161
24/07/2025,62200,63500,61900,62100,8710200,False,False,False,False,False,,82980000,300,0.0,1.0875656742556918,101610000,1.0161
25/07/2025,62100,62500,61900,62000,4978400,False,False,False,False,False,,82980000,300,-0.0016103059581320522,1.085814360770578,101580000,1.0158
28/07/2025,62200,63000,62100,62800,10484700,False,False,False,False,False,,82980000,300,0.012903225806451646,1.0998248686514887,101820000,1.0182
29/07/2025,63200,63200,61000,61000,10595600,False,False,False,False,False,,82980000,300,-0.0286624203821656,1.0683012259194395,101280000,1.0128
30/07/2025,61000,61900,60400,60900,7271000,False,False,False,False,False,,82980000,300,-0.0016393442622950616,1.0665499124343258,101250000,1.0125
31/07/2025,61500,61700,60100,60200,6066900,False,False,False,False,False,,82980000,300,-0.011494252873563204,1.054290718038529,101040000,1.0104
01/08/2025,60300,60600,59700,60200,4751600,False,False,False,False,False,,82980000,300,0.0,1.054290718038529,101040000,1.0104
04/08/2025,60100,61400,60000,61100,4462400,False,False,False,False,False,,82980000,300,0.014950166112956742,1.0700525394045535,101310000,1.0131
05/08/2025,61500,63700,61200,61500,18590000,True,True,False,False,False,,82980000,300,0.00654664484451728,1.077057793345009,101430000,1.0143
