Datetime,Open,High,Low,Close,Volume,EMA10,EMA20,EMA60,MACD,Signal,Hist,Buy_Signal,Buy_Signal1
2025-09-30 01:10:00,114225.0,114225.0,114190.5,114203.0,208,114253.47014556223,114270.83763451963,114139.70263284148,-36.9720279211615,-27.815779695573443,-9.156248225588055,False,True
2025-09-30 01:15:00,114201.5,114201.5,114146.0,114163.0,196,114237.02102818727,114260.567383613,114140.46648094503,-50.32364588069322,-35.318401757280036,-15.005244123413185,False,True
2025-09-30 01:20:00,114159.0,114188.5,114143.0,114167.5,232,114224.38084124413,114251.70382326891,114141.35282583209,-55.7079981140414,-42.11493387620049,-13.593064237840913,False,True
2025-09-30 01:25:00,114167.0,114185.0,114113.0,114163.5,253,114213.31159738156,114243.30345914805,114142.07896269005,-58.139575711480575,-47.456481154627184,-10.68309455685339,False,True
2025-09-30 01:30:00,114165.0,114202.5,114152.5,114165.0,169,114204.52767058491,114235.84598684825,114142.83047211004,-57.403397890535416,-50.77212006659659,-6.631277823938824,False,True
2025-09-30 01:35:00,114163.5,114163.5,114087.0,114096.0,185,114184.7953668422,114222.52732143413,114141.29504679496,-71.56559546232165,-57.70327853183828,-13.862316930483374,False,False
2025-09-30 01:40:00,114096.0,114121.0,114084.0,114114.0,141,114171.9234819618,114212.19138605945,114140.40012722791,-73.55023541157425,-62.98559749175027,-10.56463791982398,False,False
2025-09-30 01:45:00,114116.0,114222.0,114109.0,114200.0,195,114177.02830342329,114211.03030167284,114142.35422141716,-51.936201240925584,-59.30246540814204,7.366264167216457,False,True
2025-09-30 01:50:00,114205.0,114232.0,114167.0,114229.5,188,114186.56861189178,114212.78932056115,114145.21146005922,-30.226586939868866,-49.61050591871765,19.383918978848783,True,False
2025-09-30 01:55:00,114233.0,114282.0,114229.0,114255.0,195,114199.01068245691,114216.8093852696,114148.81108431958,-10.100896188756451,-36.440636008730586,26.339739819974135,True,False
2025-09-30 02:00:00,114257.0,114429.0,114256.0,114397.0,316,114235.00874019202,114233.97039619631,114156.94842581729,36.16859652425046,-12.237558497736902,48.40615502198736,True,False
2025-09-30 02:05:00,114393.0,114393.0,114297.0,114367.5,371,114259.0980601571,114246.68750132047,114163.85175611835,55.90516049323196,10.476681165919384,45.42847932731257,True,False
2025-09-30 02:10:00,114368.0,114393.0,114278.0,114315.0,269,114269.26204921945,114253.19345357566,114168.80743624562,53.53498763348034,24.829449988439702,28.70553764504064,True,False
2025-09-30 02:15:00,114318.0,114397.0,114273.0,114397.0,302,114292.48713117956,114266.88931513988,114176.28915964741,69.92964566621231,39.86284854769724,30.06679711851507,True,False
2025-09-30 02:20:00,114398.0,114446.0,114308.5,114377.0,303,114307.85310732873,114277.37604703131,114182.86984293765,72.8365935060865,50.85409686716032,21.98249663892618,True,False
2025-09-30 02:25:00,114376.0,114430.0,114366.0,114366.0,258,114318.4252696326,114285.81642350453,114188.87411038233,69.65867018706922,57.122287973796624,12.536382213272596,True,False
2025-09-30 02:30:00,114373.5,114397.0,114356.0,114370.0,203,114327.80249333577,114293.83390698029,114194.81266414028,66.4828221474454,60.24246603167955,6.240356115765856,True,False
2025-09-30 02:35:00,114376.0,114376.0,114307.0,114319.0,96,114326.202040002,114296.23067774407,114198.8843800701,50.31380834108859,56.93291346814923,-6.619105127060642,False,False
2025-09-30 02:40:00,114321.0,114323.5,114294.0,114315.0,47,114324.16530545618,114298.01823224463,114202.691449576,38.01142514546518,50.62575069392121,-12.61432554845603,False,False
2025-09-30 02:45:00,114309.5,114395.0,114307.0,114394.0,170,114336.86252264596,114307.15935298325,114208.9638610653,48.19375194348686,49.81508444377643,-1.6213325002895687,False,False
2025-09-30 02:50:00,114394.0,114402.5,114329.0,114339.5,217,114337.34206398306,114310.23941460389,114213.243734473,39.82932201393123,46.486496967161365,-6.6571749532301325,False,False
2025-09-30 02:55:00,114342.0,114483.0,114338.5,114373.0,316,114343.82532507705,114316.21661321304,114218.48164481815,41.49587786551274,44.82295726661182,-3.327079401099084,False,False
2025-09-30 03:00:00,114372.0,114391.5,114294.0,114339.0,347,114342.94799324486,114318.3864595737,114222.43306629952,33.08853447866568,40.911483003963106,-7.822948525297427,False,False
2025-09-30 03:05:00,114350.0,114457.5,114341.0,114454.0,281,114363.13926720034,114331.30203485239,114230.0254247815,54.34796118251688,45.390309063481034,8.95765211903585,True,False
2025-09-30 03:10:00,114453.5,114533.0,114397.5,114397.5,315,114369.38667316391,114337.60660296168,114235.51639446079,51.993394394929055,47.59133750729704,4.402056887632014,True,False
2025-09-30 03:15:00,114376.0,114380.0,114179.5,114205.0,422,114339.49818713412,114324.97740267961,114234.51585693749,3.089262224792037,32.75731241312871,-29.66805018833667,False,False
2025-09-30 03:20:00,114204.5,114208.0,114133.0,114167.0,392,114308.13488038245,114309.93193575773,114232.3022222838,-35.55415915479534,9.986821890487356,-45.5409810452827,False,False
2025-09-30 03:25:00,114169.0,114282.0,114119.0,114251.0,365,114297.74672031292,114304.31937044747,114232.91526417613,-37.73418604550534,-5.920180754843543,-31.814005290661797,False,True
2025-09-30 03:30:00,114248.0,114356.5,114223.5,114341.0,386,114305.6109529833,114307.81276373818,114236.45902600643,-16.42264080354653,-9.421000771077871,-7.001640032468657,False,False
2025-09-30 03:35:00,114338.0,114472.0,114336.0,114442.0,359,114330.4089615318,114320.59250052502,114243.19807433408,21.00091476473608,0.7196377408601116,20.28127702387597,True,False
2025-09-30 03:40:00,114453.0,114515.0,114430.0,114462.0,348,114354.33460488965,114334.0598814274,114250.37190796247,47.66906209909939,16.369445860273206,31.299616238826186,True,False
2025-09-30 03:45:00,114465.0,114583.0,114389.0,114573.5,344,114394.18285854608,114356.86370224383,114260.96627163583,88.78892677383556,40.509272831460656,48.2796539423749,True,False
2025-09-30 03:50:00,114574.5,114848.0,114454.0,114693.0,405,114448.51324790134,114388.87668298252,114275.13131191007,139.2250696959236,73.4145384529483,65.81053124297529,True,False
2025-09-30 03:55:00,114686.0,114744.0,114577.0,114605.0,414,114476.96538464655,114409.4598560318,114285.94667873268,144.27464575383055,97.03457421990905,47.24007153392151,True,False
2025-09-30 04:00:00,114606.0,114606.0,114414.0,114503.0,400,114481.69895107445,114418.36844117162,114293.06318106932,118.45456001879938,104.17456948620583,14.279990532593558,True,False
2025-09-30 04:05:00,114503.5,114681.0,114427.0,114634.0,406,114509.3900508791,114438.90478010767,114304.2414374277,130.31055401927733,112.88656433056299,17.423989688714343,True,False
2025-09-30 04:10:00,114635.0,114847.0,114578.5,114847.0,386,114570.773677992,114477.77099152599,114322.03680013499,184.03923122530978,136.60411996214526,47.435111263164515,True,False
2025-09-30 04:15:00,114840.0,114879.51,114547.0,114696.0,413,114593.54210017527,114498.55470661876,114334.29788865514,174.6521085487766,149.2867828243557,25.3653257244209,True,False
2025-09-30 04:20:00,114699.0,114861.0,114683.0,114802.5,405,114631.53444559795,114527.50187741697,114349.6487775517,188.80266602804477,162.45874389225204,26.343922135792724,True,False
2025-09-30 04:25:00,114810.0,114842.0,114709.0,114714.0,372,114646.52818276196,114545.26360337726,114361.59471927132,170.27275891942554,165.06341556797653,5.209343351449007,True,False
2025-09-30 04:30:00,114715.0,114715.0,114543.5,114589.0,420,114636.06851316888,114549.42897448418,114369.05063011489,123.92860038026993,151.35181050540766,-27.42321012513773,False,False
2025-09-30 04:35:00,114586.0,114695.0,114541.0,114680.0,364,114644.05605622908,114561.86431024759,114379.24569142259,113.70740632871457,138.8036757798433,-25.096269451128734,False,False
2025-09-30 04:40:00,114677.0,114691.0,114483.0,114537.0,393,114624.59131873288,114559.4962807002,114384.41796383496,69.88486368399754,115.83073841456138,-45.945874730563844,False,True
2025-09-30 04:45:00,114539.0,114539.0,114444.0,114510.5,369,114603.84744259964,114554.82996825257,114388.55180108627,34.924128003563965,88.86186827756225,-53.93774027399829,False,True
2025-09-30 04:50:00,114517.5,114544.0,114355.0,114394.0,400,114565.69336212697,114539.51282841899,114388.73043055885,-15.010097581558512,54.23787965785533,-69.24797723941384,False,True
2025-09-30 04:55:00,114395.0,114612.0,114382.0,114603.5,363,114572.5672962857,114545.60684476004,114395.77205578642,5.22830913157668,37.90135614909578,-32.6730470175191,False,False
2025-09-30 05:00:00,114598.0,114693.0,114548.5,114660.0,337,114588.46415150649,114556.50143097337,114404.43526707211,30.72200495438301,35.50823908419152,-4.786234129808513,False,False
2025-09-30 05:05:00,114663.5,114663.5,114556.5,114595.0,339,114589.65248759622,114560.16796135686,114410.68329110254,29.647662594972644,33.55471358778523,-3.907050992812586,False,False
2025-09-30 05:10:00,114599.0,114601.0,114452.0,114505.5,312,114574.352035306,114554.96148884667,114413.79203565656,6.748927121210727,24.619451432260398,-17.87052431104967,False,True
2025-09-30 05:15:00,114503.0,114625.5,114448.0,114505.5,319,114561.83348343219,114550.25087086127,114416.79885415963,-7.2772602160112,13.987214216169866,-21.264474432181068,False,True
