2025-08-04 10:06:16,856 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,856 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,857 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,857 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,858 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,858 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,859 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,860 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,860 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,860 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,861 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,861 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,862 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,862 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,863 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,863 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,864 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,864 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,865 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,865 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,866 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,866 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,867 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,867 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,867 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,868 - INFO - BUY 8656 EURUSD.sml @ 1.15441 VND
2025-08-04 10:06:16,868 - INFO - Already have position in EURUSD.sml, skipping BUY signal
2025-08-04 10:06:16,869 - INFO - SELL 8656 EURUSD.sml @ 1.15386 VND, P&L: -4.76080 VND (-0.05%)
2025-08-04 10:06:16,869 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,870 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,870 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,871 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,871 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,872 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,872 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,873 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,873 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,874 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,874 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,874 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,875 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,875 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,876 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,876 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,877 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,877 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,878 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,878 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,879 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,879 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,879 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,880 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,880 - INFO - No position in EURUSD.sml, skipping SELL signal
2025-08-04 10:06:16,881 - INFO - No position in EURUSD.sml, skipping SELL signal
